Capacity(%),Area,O/C,Count,LastUpdated
40,MAC Weight Room,Open,22,08/23/2021 07:03 PM
12,Lower Weight Room,Open,23,08/23/2021 07:03 PM
1,Pool,Open,6,08/23/2021 07:03 PM
0,Squash Court,Open,0,08/23/2021 07:09 PM
0,Pool Deck,Open,0,08/23/2021 07:03 PM
0,Racquetball Courts,Open,0,08/23/2021 07:09 PM
8,Power Training Platforms,Open,4,08/23/2021 07:03 PM
0,Pool Lawn,Open,0,08/23/2021 07:03 PM
1,Cardio Equipment,Open,1,08/23/2021 07:09 PM
6,Spa,Open,3,08/23/2021 07:03 PM
0,Weight Equipment,Open,0,08/23/2021 07:09 PM
0,Outdoor Volleyball,Open,0,08/23/2021 07:03 PM
40,MAC Weight Room,Open,22,08/23/2021 07:03 PM
12,Lower Weight Room,Open,23,08/23/2021 07:03 PM
1,Pool,Open,6,08/23/2021 07:03 PM
0,Squash Court,Open,0,08/23/2021 07:09 PM
0,Pool Deck,Open,0,08/23/2021 07:03 PM
0,Racquetball Courts,Open,0,08/23/2021 07:09 PM
8,Power Training Platforms,Open,4,08/23/2021 07:03 PM
0,Pool Lawn,Open,0,08/23/2021 07:03 PM
1,Cardio Equipment,Open,1,08/23/2021 07:09 PM
6,Spa,Open,3,08/23/2021 07:03 PM
0,Weight Equipment,Open,0,08/23/2021 07:09 PM
0,Outdoor Volleyball,Open,0,08/23/2021 07:03 PM
40,MAC Weight Room,Open,22,08/23/2021 07:03 PM
12,Lower Weight Room,Open,23,08/23/2021 07:03 PM
1,Pool,Open,6,08/23/2021 07:03 PM
0,Squash Court,Open,0,08/23/2021 07:09 PM
0,Pool Deck,Open,0,08/23/2021 07:03 PM
0,Racquetball Courts,Open,0,08/23/2021 07:09 PM
8,Power Training Platforms,Open,4,08/23/2021 07:03 PM
0,Pool Lawn,Open,0,08/23/2021 07:03 PM
1,Cardio Equipment,Open,1,08/23/2021 07:09 PM
6,Spa,Open,3,08/23/2021 07:03 PM
0,Weight Equipment,Open,0,08/23/2021 07:09 PM
0,Outdoor Volleyball,Open,0,08/23/2021 07:03 PM
40,MAC Weight Room,Open,22,08/23/2021 07:03 PM
12,Lower Weight Room,Open,23,08/23/2021 07:03 PM
1,Pool,Open,6,08/23/2021 07:03 PM
0,Squash Court,Open,0,08/23/2021 07:09 PM
0,Pool Deck,Open,0,08/23/2021 07:03 PM
0,Racquetball Courts,Open,0,08/23/2021 07:09 PM
8,Power Training Platforms,Open,4,08/23/2021 07:03 PM
0,Pool Lawn,Open,0,08/23/2021 07:03 PM
1,Cardio Equipment,Open,1,08/23/2021 07:09 PM
6,Spa,Open,3,08/23/2021 07:03 PM
0,Weight Equipment,Open,0,08/23/2021 07:09 PM
0,Outdoor Volleyball,Open,0,08/23/2021 07:03 PM
40,MAC Weight Room,Open,22,08/23/2021 07:03 PM
12,Lower Weight Room,Open,23,08/23/2021 07:03 PM
